01DB METRAVIB|700258
3VIEW LTD|70E139
3WARE INC|00050E
3WAY NETWORKS LTD|001A8E
4ACCESS COMMUNICATIONS|0013CF
4DREPLAY INC|142475
4G SYSTEMS GMBH CO KG|000E56
4IPNET INC|001FD4
4NSYS CO LTD|00187B
4P MOBILE DATA PROCESSING|0011C1
4RF COMMUNICATIONS LTD|0022B2
5VT TECHNOLOGIES TAIWAN LTD|D4BD1E
690885 ONTARIO INC|00114E
6HARMONICS INC|ACEE3B
6WIND|0009C0
70MAI CO LTD|4427F3B859C8
77 ELEKTRONIKA KFT|00142E
7HUGS LABS|38D7CA
7INOVA TECHNOLOGY LIMITED|04848A
7SIGNAL SOLUTIONS INC|B89919
8 WAYS TECHNOLOGY CORP|00184F
802 GLOBAL|0011ED
802AUTOMATION LIMITED|001BE5
8086 CONSULTANCY|002282
8BITDO TECHNOLOGY HK LIMITED|E417D8
8D TECHNOLOGIES|182B05
8DEVICES|C49300
8LOCATIONS CO LTD|7C1A03
8MESH NETWORKS LIMITED|101D51
8X8 INC|0090A0
99IOT SHENZHEN CO LTD|701D08
9SOLUTIONS OY|B8E779
A BELTR NICA COMPANHIA DE COMUNICA ES LDA|001534
A BRAND NEW WORLD IN SWEDEN AB|000539
A D C GMBH|3806B4
A D CO LTD|00091F
A D ENGINEERING CO LTD|8C53F7
A EBERLE GMBH CO KG|ECFC55
A FIRST TECHNOLOGY CO LTD|001566
A FOUR TECH CO LTD|001A40
A I ANTITACCHEGGIO ITALIA SRL|002506
A JIN TECHLINE CO LTD|000FCA
A KYUNG MOTION INC|0005C1
A LINK LTD|001A9F
A MAX TECHNOLOGY MACAO COMMERCIAL OFFSHORE COMPANY LIMITED|00267D
A N SOLUTIONS GMBH|C47DFE
A O SMITH WATER PRODUCTS|0C8411
A ONE CO LTD|000382
A PLUS INFO CORPORATION|004008
A R CAMBRIDGE|001B7C
A R TECH|C03580
A S MYCRON|080059
A S THOMAS INC|08184C
A T|40040C
A T N R|00E079
A TEAM TECHNOLOGY LTD|00213F
A TEC SUBSYSTEM INC|001667
A TREND TECHNOLOGY CO LTD|00E0FD
A TRUST COMPUTER CORPORATION|001FD8
A V LINK TECHNOLOGIES CORP|94DD3F
A W COMMUNICATION SYSTEMS LTD|00156E
A Z INC|0007A7
A10 NETWORKS|001FA0
A2 CORPORATION|001043
A2B ELECTRONICS AB|002280
A2I MARKETING CENTER|001241
A2UICT CO LTD|F8BE0D
A3M CO LTD|FCE186
A4SP TECHNOLOGIES LTD|0021FA
A5TEK CORP|0006B9
A7 ENGINEERING INC|0024AB
AAC ELECTRONICS CORP|000EE7
AAE SYSTEMS INC|0030D4
AAEON TECHNOLOGY INC|000732
AAI CORPORATION|0017D9
AAMP OF AMERICA|002672
AANETCOM INC|009057
AARTESYS AG|E4776B
AASTRA TELECOM|0010BC
AATR|00020F
AAVA MOBILE OY|702F97
AB REGIN|003097
AB SCIEX|C4E92F
ABATEC GROUP AG|00A2FF
ABATRON AG|000C01
ABB AB CEWE CONTROL|000C62
ABB AG|54F876
ABB AS DIVISION AUTOMATION PRODUCTS|001B45
ABB AUSTRALIA|78AB60
ABB AUTOMATION PRODUCTS GMBH|002459
ABB BOMEM INC|00022C
ABB GENWAY XIAMEN ELECTRICAL EQUIPMENT CO LTD|807A7F
ABB GLOBAL INDUSTRIES AND SERVICES PRIVATE LIMITED|5031AD
ABB INC TOTALFLOW|001386
ABB INC TROPOS|000D97
ABB INDUSTRIAL SYSTEMS AB|000023
ABB LTD|60391F
ABB N V POWER QUALITY PRODUCTS|9803A0
ABB OY|000C02
ABB OY DRIVES|001C01
ABB OY MEDIUM VOLTAGE PRODUCTS|0021C1
ABB POWER SYSTEMS POWER GENERATION|B89BE4
ABB POWER T D COMPANY INC|00904F
ABB ROBOTICS|E002A5
ABB SPA ABB SACE DIV|ACD364
ABB SPA DIN RAIL|4CBCB4
ABB STOTZ KONTAKT GMBH|000CDE
ABB SWITZERLAND LTD|00032C001293
ABB XIAMEN LOW VOLTAGE EQUIPMENT CO LTD|803B2A
ABBEY SYSTEMS LTD|0012E9
ABBOTT DIAGNOSTICS|0013DD
ABBOTT POINT OF CARE|C0A26D
ABC XISHENG ELECTRONICS CO LTD|5C2ED2
ABE ELETTRONICA S P A|001D7C
ABEEWAY|20635F
ABEKAS VIDEO SYSTEM|000076
ABELKO INNOVATION|00305E
ABEONA NETWORKS INC|000610
ABERDEEN TEST CENTER|001543
ABICOM INTERNATIONAL|08B4CF
ABILIS SYSTEMS SARL|F436E1
ABILITY ENTERPRISE CO LTD|20ED74
ABISYSTEMS CO LTD|A40130
ABIT COMPUTER CORPORATION|00508D
ABIT CORPORATION|00C0EF
ABK NORTH AMERICA LLC|002270
ABL CANADA INC|00501B
ABL GMBH|B08BBE
ABLAZE SYSTEMS LLC|00260E
ABLE COMMUNICATIONS INC|08001D
ABLELINK ELECTRONICS LTD|844F03
ABLER TECHNOLOGY INC|00E0F0
ABLEREX ELECTRONICS CO LTD|000F7E
ABLOOMY|60CDA9
ABOCOM|00120E00E098ECF00E
ABOUNDI INC|50A715
ABOUT COMPUTING INC|00C0F8
ABOVECABLE INC|000D08
ABRANTIX AG|1407E0
ABSOLUTE ACOUSTICS|1CC586
ABSOLUTE ANALYSIS|24BBC1
ABSOLUTEVALUE SYSTEMS INC|000584
ABUS SECURITY CENTER GMBH CO KG|8C11CB
AC ELECTRIC VEHICLES LTD|000C89
AC T SYSTEM CO LTD|0030BA
AC TECH CORPORATION DBA ADVANCED DIGITAL|000C61
ACA DIGITAL CORPORATION|001A55
ACACIA COMMUNICATIONS|7CB25C
ACACIA NETWORKS INC|00A095
ACARD TECHNOLOGY CORP|001164
ACBEL POLYTECH INC|001396
ACC GMBH|000C70
ACCEDIAN NETWORKS|0015AD
ACCEDIAN NETWORKS INC|0024FD
ACCEL INC|00502D
ACCEL SEMICONDUCTOR CORP|001F81
ACCEL TECHNOLOGIES INC|08006B
ACCELENT SYSTEMS INC|000434
ACCELERATED CONCEPTS INC|002704
ACCELERATED NETWORKS INC|001026
ACCELIGHT NETWORKS|0006F3
ACCELINK TECHNOLOGIES CO LTD|6C2E33
ACCELL CORPORATION|080078
ACCELLA TECHNOLOGIES CO LTD|0006BF
ACCELSTOR INC|34074F
ACCENSE TECHNOLOGY INC|001766
ACCENSUS LLC|DC1EA3
ACCESS CO LTD|008032
ACCESS DEVICES LIMITED|000807
ACCESS MEDIA SPA|000313
ACCESS SYSTEMS AMERICAS INC|000E20
ACCESSIA TECHNOLOGY LTD|DC0682
ACCESSLAN COMMUNICATIONS INC|001033
ACCLAIM COMMUNICATIONS|0060CE
ACCM|001F2A
ACCONET PTE LTD|0019F6
ACCORD SYSTEMS INC|0040E9
ACCORD VIDEO TELECOMMUNICATIONS LTD|0090CA
ACCORDANCE SYSTEMS INC|BC3E13
ACCORDION NETWORKS INC|000260
ACCRETECH SBS INC|0023BB
ACCSENSE INC|0014A0
ACCTON TECHNOLOGY CORP|0000E80004E30010B50012CF0030F1B8616F
ACCU SORT SYSTEMS INC|000E13
ACCU TIME SYSTEMS INC|006095
ACCUENERGY CANADA INC|ECC38A
ACCUPIX INC|9C1FDD
ACCURATE TECHHNOLOGIES INC|000F36
ACCUSPEC ELECTRONICS LLC|1C3A4F
ACCUSYS INC|000612
ACCUTECH ULTRASYSTEMS CO LTD|0018ED
ACCUTOME|98E165
ACCUTRON INSTRUMENTS INC|909F43
ACE ANTENNA CO LTD|A0218B
ACE AXIS LIMITED|002424
ACE CAD ENTERPRISE CO LTD|001B58
ACE TECHNOLOGY CORP|10C9CA
ACEEX CORPORATION|0005B4
ACENET CORPORATION|0017AD
ACENET TECHNOLOGY INC|001847
ACENTIC GMBH|D4C766
ACER COMPUTER SHANGHAI LIMITED|1806FF
ACER INC|C09879
ACER INCORPORATED|000124
ACER NETXUS INC|006067
ACER PERIPHERALS INC|00A060
ACER TECHNOLOGIES CORP|0000E2
ACES CO LTD|4C9D22
ACES TECHNOLOGY|7CB542
ACETEL|00D11C
ACIST MEDICAL SYSTEMS INC|0017B1
ACK NETWORKS INC|C40E45
ACKFIN NETWORKS|00E093
ACKSYS COMMUNICATIONS SYSTEMS|000990
ACL AIRSHOP BV|7453A8
ACLARA POWER LINE SYSTEMS INC|001D24
ACLARA RF SYSTEMS INC|00192B
ACLIMA INC|6C5779
ACM SYSTEMS|000C60
ACME PACKET|000825
ACN ADVANCED COMMUNICATIONS|00D073
ACN TECHNOLOGIES|000405
ACOGITO CO LTD|001952
ACOINFO TECHNOLOGY CO LTD|409505
ACOMA MEDICAL INDUSTRY CO LTD|F00DF5
ACOMZ NETWORKS CORP|000371
ACOREL S A S|002630
ACORN COMPUTERS LIMITED|0000A4
ACORP ELECTRONICS CORP|000875
ACOUSTIC STREAM|0C1A10
ACQIS TECHNOLOGY|00057F
ACR|0002D5
ACRES GAMING INC|006007
ACRISON INC|00D06D
ACRO ASSOCIATES INC|7CC8AB
ACRO TELECOM|0014EC
ACROLOOP MOTION CONTROL|00D05B
ACROMAG INC|0001C3
ACROMATE INC|2CA157
ACRONAME INC|04E662
ACRONET CO LTD|0004FF
ACROSSER TECHNOLOGY CO LTD|0002B6
ACROWAVE SYSTEMS CO LTD|000447
ACS SOLUTIONS FRANCE|001EE4
ACS SOLUTIONS SWITZERLAND LTD|00175B
ACSIP|9C65FA
ACSIP TECHNOLOGY CORP|0026FC5812435CE2F4689C5E8CB8649C65F9
ACT CO LTD|98FD74
ACT KDE INC|68B8D9
ACTEL CORPORATION|000BE9
ACTELIS NETWORKS INC|000385
ACTEON GROUP|FC09D8
ACTERNA|000711
ACTI CORPORATION|000F7C
ACTIA|001002
ACTIA AUTOMOTIVE|C4F839
ACTIFIO INC|38A95F
ACTILITY|F03D29
ACTINEON|50A054
ACTION DIGITAL INC|00079F
ACTION IMAGING SOLUTIONS|0009B9
ACTION STAR ENTERPRISE CO LTD|00249B
ACTION TARGET INC|705EAA
ACTION TECHNOLOGY SZ CO LTD|001B03
ACTIONCABLE INC|A04025
ACTIONS MICROELECTRONICS CO LTD|D0C0BFFC1928
ACTIONS SEMICONDUCTOR CO LTD CAYMAN ISLANDS|F44EFD
ACTIONTEC ELECTRONICS INC|000FB3001505001801001EA7001F900020E000247B0026620026B8007F280C6127105F0610785B109FA9181BEB207600408B074C8B3070F19670F22084E892941C569C1E95A0A3E2A83944E86FF2F8E4FBFC2BB2
ACTIS COMPUTER SA|002015
ACTIV NET GMBH CO KG|000E5F
ACTIVA MULTIMEDIA|001A32
ACTIVE CONTROL TECHNOLOGY INC|D05875
ACTIVE IMAGING PLC|006025
ACTIVE POWER|0030A5
ACTIVE SILICON LTD|000591
ACTIVE STORAGE INC|0022C1
ACTIVE TCHNOLOGY CORPORATION|000A2C
ACTIVETELCO|0001DC
ACTIVIO INC|A45E5A
ACTIVNETWORKS|001203
ACTLAS INC|44EA4B
ACTP INC|8CCDA2
ACTUALITY SYSTEMS INC|001196
ACUBIT|5CFAFB
ACUCOMM INC|009037
ACUITY IMAGING INC|006033
ACULAB PLC|00021F
ACUMEN|74ECF1
ACURIX NETWORKS PTY LTD|F0FDA0
ACURO NETWORKS INC|ECB106
ACUSON COMPUTED SONOGRAPHY|00C0C3
ACUTE COMMUNICATIONS CORP|00D0F9
ACUTVISTA INNOVATION CO LTD|A0B662
ACX GMBH|703187
AD EL S R L|001340
AD SOL NISSIN CORP|106FEF
AD SYSTEMS CORP|0050D5
ADACHI SYOKAI CO LTD|002716
ADAFRUIT|9876B6
ADAM COMMUNICATIONS SYSTEMS INT LTD|001D64
ADAM ELEKTRONIK LTD TI|000AEA
ADAMSON SYSTEMS ENGINEERING|C0A8F0
ADANIS INC|186D99
ADAPCOM|000287
ADAPT IP|10C65E
ADAPT4 LLC|0013DE
ADAPTEC INCORPORATED|0000D1
ADAPTEVA INC|044F8B
ADAPTIVE INSTRUMENTS|000FB9
ADAPTIVE MICRO SYSTEMS INC|000E12
ADAPTIVE MICRO WARE INC|001A0A
ADAPTIVE RECOGNITION HUNGARY INC|001D4D
ADAPTIVE SPECTRUM AND SIGNAL ALIGNMENT ASSIA INC|78028F
ADAPTIVE SYSTEMS INC|008027
ADAPTIVE WIRELESS SOLUTIONS LLC|A44E2D
ADAPTIX INC|001261
ADAPTRUM INC|F0F5AE
ADASTRA SYSTEMS CORP|00200C
ADATA TECHNOLOGY CO LTD|707C18
ADATIS GMBH CO KG|1062C9
ADAX INC|000710
ADAXYS SOLUTIONS AG|A4B2A7
ADAY TECHNOLOGY INC|0011C0
ADB BROADBAND ITALIA|0008270013C80017C200193E001CA2001D8B00223300238E002553008C5400A02F3039F238229D6487D774888B842615A04FD4A4526FA45DA1D0D412D4D184DC0B1AE874E6F0842F
ADB ITALIA|105AF78C59C3
ADC AUTOMOTIVE DISTANCE CONTROL SYSTEM GMBH|3C69D1
ADC CODENOLL TECHNOLOGY CORP|00004A0080DF
ADC CORPORATION|EC42B4
ADC ELEKTRONIK GMBH|00249E
ADC GLOBAL CONNECTIVITY SOLUTIONS DIVISION|004016
ADC TECHONOLOGY|0009E7
ADC TELECOMMUNICATIONS|001734
ADCON TELEMETRY GMBH|0004D2
ADD ENGINEERING BV|28F532
ADD NERGIE TECHNOLOGIES|882BD7
ADD ON TECHNOLOGY CO LTD|001385
ADDAT S R O|847616
ADDER TECHNOLOGY LIMITED|000F58
ADDI DATA GMBH|000F6C
ADDITECH INC|C00D7E
ADDLOGIX|001296
ADDO JAPAN CORPORATION|000F85
ADDON COMPUTER|44D5A5
ADDONICS TECHNOLOGIES INC|0050C8
ADDPAC TECHNOLOGY CO LTD|0002A4
ADDREK SMART SOLUTIONS|404A18
ADDTRON TECHNOLOGY CO LTD|004033
ADDVALUE COMMUNICATIONS PTE LTD|000B68
ADEC PARTER AG|001A9B
ADEMCO SMART HOMES TECHNOLOGY TIANJIN CO LTD|A0F9B7
ADEPT SYSTEMS INC|0007FC
ADEPT TECHNOLOGY|0010EA
ADEPT TELECOM|00026D
ADERO INC|A0341B
ADESYS BV|00219D
ADEUNIS RF|0018B2
ADF TECHNOLOGIES SDN BHD|24EC51
ADFWEB COM S R L|1064E2
ADHOC TECHNOLOGIES|0010A9
ADHOCO AG|0018E5
ADI ENGINEERING INC|0008A2
ADID SA|00307C
ADIGIT TECHNOLOGIES CORP|0018A5
ADIMOS SYSTEMS LTD|000EE6
ADINSTRUMENTS|000B55
ADITEC CO LTD|00145F
ADITYA INFOTECH LTD|2818FD
ADL EMBEDDED SOLUTIONS INC|EC42F0
ADLER ELREHA GMBH|B0C128
ADLINK TECHNOLOGY INC|003064
ADMTEK INCORPORATED|00E092
ADNACOM INC|4C0A3D
ADOBE SYSTEMS INC|004018
ADOIR DIGITAL TECHNOLOGY|0005EF
ADOLF TEDSEN GMBH CO KG|80427C
ADOLF THIES GMBH CO KG|0024AD
ADONIT CORP LTD|F46ABC
ADP GAUSELMANN GMBH|000E87
ADRA SYSTEMS INC|000071
ADS GMBH|148A70
ADS TEC GMBH|001892
ADS TECHNOLOGIES INC|0050C5
ADSOFT LTD|008057
ADTEC CORPORATION|000229
ADTEC PRODUCTIONS INC|00901F
ADTECH|003075
ADTEK SYSTEM SCIENCE CO LTD|00017E
ADTRAN INC|00014F00199200244500A0C8205F3D28D0CB38F8F6AC139CAC51EECC6618
ADTRANZ SWEDEN|000630
ADURA TECHNOLOGIES|00270B
ADV SECURITY S PTE LTD|C81E8E
ADVA OPTICAL NETWORKING LTD|000B900080EA00D08B18BC57289AF784C807B838EF
ADVALY SYSTEM INC|305DA6
ADVAN|5C1515
ADVANCE MICRO RESEARCH INC|00C0A0
ADVANCE STERILIZATION PRODUCTS|001289
ADVANCE VISION ELECTRONICS CO LTD|3C83B5
ADVANCE WIRELESS TECHNOLOGY CORP|0012B3
ADVANCED AUTOMOTIVE ANTENNAS|E8481F
ADVANCED CARD SYSTEMS LTD|00232F
ADVANCED COMMUNICATIONS CO LTD|0003D5
ADVANCED COMPRESSION TECHNOLOGY INC|002090
ADVANCED COMPUTER APPLICATIONS|00207D
ADVANCED COMPUTER COMM|080003
ADVANCED COMPUTER SOLUTIONS INC|0060F4
ADVANCED CONNECTEK INC|E85659
ADVANCED CONTROL SYSTEMS DOO|002142
ADVANCED CONTROL SYSTEMS INC|001066
ADVANCED CYBERNETICS GROUP|0012CE
ADVANCED DESIGN TECHNOLOGY CO LTD|E016B1
ADVANCED DESIGN TECHNOLOGY PTY LTD|1466B7
ADVANCED DIGITAL BROADCAST LTD|000391
ADVANCED DIGITAL BROADCAST SA|2083F8686359C477AF
ADVANCED DIGITAL TECHNOLOGY|00088F
ADVANCED ELECTRONIC DESIGN INC|001C8F
ADVANCED ENERGY|000B47
ADVANCED FIBRE COMMUNICATIONS|009077
ADVANCED HI TECH CORP|005074
ADVANCED ILLUMINATION|0022FE
ADVANCED INDUSTRIAL COMPUTER INC|0015B2
ADVANCED INFORMATION|0080B0
ADVANCED INTEGRATION RESEARCH|00C051
ADVANCED KNOWLEDGE ASSOCIATES|001FF9
ADVANCED LOGIC RESEARCH INC|00C00D
ADVANCED MICRO DEVICES|00001A
ADVANCED MICRO PERIPHERALS|B0E97E
ADVANCED MOBILE TELECOM CO LTD|581D91
ADVANCED MOTION CONTROLS|001384
ADVANCED NETWORK DEVICES DBA AND|2046F9
ADVANCED PANMOBIL SYSTEMS GMBH CO KG|90507B
ADVANCED PERIPHERALS TECHNOLOGIES INC|00A07A
ADVANCED PHOTONICS INC|B8DAF7
ADVANCED REALTIME TRACKING GMBH|0022F5
ADVANCED RELAY CORPORATION|001C5A
ADVANCED RF TECHNOLOGIES INC|3497FB
ADVANCED SCIENTIFIC CORP|000218
ADVANCED SIMULATION TECHNOLOGY INC|001A18
ADVANCED SPECTRUM TECHNOLOGY CO LTD|0026EB
ADVANCED SWITCHING COMMUNICATIONS INC|009026
ADVANCED SYSTEMS CO LTD|000541
ADVANCED TECHNICAL SOLUTIONS|0040DB
ADVANCED TECHNICAL SUPPORT INC|A007B6
ADVANCED TECHNOLOGY LABS|00C0FB
ADVANCED TECHNOLOGY SYSTEMS|00307A
ADVANCED TELECOMMUNICATION TECHNOLOGIES INC|00120D
ADVANCED TELECOMMUNICATIONS MODULES LTD|00202B
ADVANCED TELEVISION SYSTEMS COMMITTEE INC|000979
ADVANCED VIDEO COMMUNICATIONS INC|0024A7
ADVANCED VISION TECHNOLGIES CORP|00E095
ADVANCED WIRELESS DYNAMICS S L|70A41C
ADVANCED WISE TECHNOLOGY CORP|EC5B73
ADVANET INC|001071
ADVANSEE|082522
ADVANSUS CORP|00190F
ADVANSYS|00E03C
ADVANTAGE CENTURY TELECOMMUNICATION CORP|00D0E9
ADVANTAGE CONTROLS|E438F2
ADVANTAGE ELECTRONICS|541FD5
ADVANTAGE PHARMACY SERVICES LLC|F06130
ADVANTAGE SIX LTD|0017DE
ADVANTECH AMT INC|000E02
ADVANTECH CO LTD|00D0C974FE48
ADVANTECH TECHNOLOGIES CO LTD|001453
ADVANTECH TECHNOLOGY CHINA CO LTD|000BABC400ADCC827F
ADVAS CO LTD|701AED
ADVENT NETWORKS|000696
ADVENTIQ LTD|001EED
ADVIDIA|78A183
AE REFUSOL|7CBD06
AEDLE SAS|F89173
AEG POWER SOLUTIONS|0026E5
AEGATE LTD|001657
AEHR TEST SYSTEMS|0020BF
AELUROS|000B25
AEON DIGITAL INTERNATIONAL|00147D
AEON SYSTEMS INC|004019
AEONSEMI INC|B802A4
AEP TICKETING SOLUTIONS SRL|04E2F8
AERAS NETWORKS INC|000E30
AERIS ELETTRONICA S R L|001C22
AEROCOMM INC|005067
AEROCONCIERGE INC|000930
AERODEV|2C1EEA
AERODISK LLC|6C4A74
AEROFLEX LABORATORIES INC|005031
AEROMARITIME SYSTEMBAU GMBH|001855
AERONIX INC|000BD1
AEROSAT AVIONICS|002123
AEROSCOUT LTD|000CCC
AEROSPACE NEW GENERATION COMMUNICATIONS CO LTD|F41399
AEROTECH INC|001189
AEROTELECOM CO LTD|000F91
AEROVIRONMENT AV INC|001AF9
AES CORPORATION|3CC12C
AES DATA INC|080080
AES MOTOMATION|2087AC
AES PRODATA|00A062
AESYS S P A|0011BF
AETA|000384
AETA AUDIO SYSTEMS|001597
AETAS SYSTEMS INC|002530
AETEK INC|688DB6
AETHERIS TECHNOLOGY SHANGHAI CO LTD|9CFCD1
AETHEROS|18DFC1
AETHRA TELECOMUNICAZIONI|00D0D6
AEV SPOL S R O|94DC4E
AEVOE INC|00143D
AEWIN TECHNOLOGIES CO LTD|000D48
AFAR COMMUNICATIONS INC|000D94
AFCO SYSTEMS|000D7D
AFE COMPUTERS LTD|00405F
AFE INC|EC570D
AFFINEGY|581CBD
AFFINITY INTERNATIONAL S P A|001B04
AFFIRMED NETWORKS|78223D
AFREEY INC|002260
AFT ATLAS FAHRZEUGTECHNIK GMBH|0023FD
AFTEK INFOSYS LIMITED|0017B3
AFUN TECHNOLOGY INC|407496
AG E GMBH|00017C
AG ELEKTRONIK AB|6499A0
AG LEADER TECHNOLOGY|0024A9
AGAIT TECHNOLOGY CORPORATION|C8D1D1
AGAMI SYSTEMS INC|001A47
AGAPHA TECHNOLOGY CO LTD|001D0E
AGAT SOFT LLC|0012E3
AGATEL LTD|B4BA02
AGERE SYSTEMS|00022D00053D
AGFA CORPORATION|080066
AGFA NDT INC|000BCF
AGFEO GMBH CO KG|000940
AGILE COMMUNICATIONS INC|0025B8
AGILE NETWORKS INC|0020B6
AGILE SYSTEMS INC|000B0C
AGILE TV CORPORATION|000557
AGILECOM PHOTONICS SOLUTIONS GUANGDONG LIMITED|6843D7
AGILEMESH INC|8091C0
AGILENT TECHNOLOGIES INC|0004430030D3
AGILIS CORPORATION|00805C
AGITECH DISTRIBUTION LIMITED|9CF86B
AGJUNCTION|74943D
AGLAIA GESELLSCHAFT F R BILDVERARBEITUNG UND KOMMUNIKATION MBH|000B91
AGLOGICA HOLDINGS INC|0C8A87
AGM GROUP LIMITED|0C5203
AGP TELECOM CO LTD|0011BE
AGRANAT SYSTEMS|0090B3
AHN INC|D881CE
AHNLAB INC|001BE2
AI TECHNOLOGY CO LTD|6C97AA
AICHI ELECTRIC CO LTD|001137
AICONN TECHNOLOGY CORPORATION|CCD811
AIDC TECHNOLOGY S PTE LTD|5C15E1
AIDON OY|44962B
AIDONIC CORPORATION|0006DF
AIFA TECHNOLOGY CORP|CCA614
AIJI SYSTEM CO LTD|000978
AILOCOM OY|000CAE
AIM GMBH|087999
AIM INFRAROTMODULE GMBH|0014E6
AIM SYSTEM INC|00D020
AIMORE ACOUSTICS INCORPORATION|FC1499
AIMVALLEY B V|000F25
AIN COMM TECH CO LTD|000D2F
AINET|501408
AINSWORTH GAME TECHNOLOGY|6C22AB
AIO LCD PC BU TPV|0025AB
AIOI SYSTEMS CO LTD|001DC4
AIPERMON GMBH CO KG|001A36
AIPHONE CO LTD|000BAA
AIPON ELECTRONICS CO LTD|044AC6
AIPTEK INTERNATIONAL INC|000A9A
AIR LINK TECHNOLOGY|0002A8
AIR PRODUCTS AND CHEMICALS INC|00075A
AIR2APP|001E77
AIR2U INC|000B0D
AIR802 LLC|001F35
AIRAK INC|0014ED
AIRAYA CORP|0011F8
AIRBUS DEFENCE AND SPACE DEUTSCHLAND GMBH|0023B9
AIRCUVE INC|A0EB76
AIRDEFENSE INC|00165D
AIRDIO WIRELESS INC|0026FB
AIRENETWORKS|0CCC26
AIRESPIDER NETWORKS|001948
AIRFIBER INC|0050DF
AIRFLOW NETWORKS|000BC8
AIRGAIN INC|001C04
AIRGO NETWORKS INC|000AF5
AIRIOS|58F387
AIRISTA FLOW INC|C4CB6B
AIRLINK COMMUNICATIONS INC|00143E
AIRLINK WIFI NETWORKING CORP|0023D3
AIRLOGIC|000B24
AIRLOGIC SYSTEMS INC|001F76
AIRMAGNET INC|000DC8
AIRNAV SYSTEMS LLC|14EE9D
AIRO WIRELESS|C42628
AIROCON INC|00051D
AIROHA TECHNOLOGY CORP|0CFC83
AIRPO NETWORKS TECHNOLOGY CO LTD|942957
AIRPOINTE OF NEW HAMPSHIRE|4C60D5
AIRPRO TECHNOLOGY INDIA PVT LTD|587BE9
AIRRUNNER TECHNOLOGIES INC|00068B
AIRSCAPE INC|60CBFB
AIRSONICS|3C7873
AIRSOUND INC|E81367
AIRSPAN|00A00A
AIRSPAN COMMUNICATIONS LTD|0001AA
AIRSWITCH CORPORATION|000165
AIRTAME APS|384B76
AIRTECH I C CO LTD|8CB094
AIRTECH TECHNOLOGIES INC|00224B
AIRTIES WIRELESS NETWORKS|001CA81828618841FCA02D13F417B8
AIRVANA INC|0005B9
AIRVAST TECHNOLOGY INC|000AE9
AIRVINE SCIENTIFIC INC|A4F9E4
AIRVOD LIMITED|001BB4
AIRWARE|E4C62B
AIRWAVE TECHNOLOGIES INC|000DDB
AIRWIRE TECHNOLOGIES|1C14B3
AISAI COMMUNICATION TECHNOLOGY CO LTD|E0C286
AISIN CORPORATION|001E43
